"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48075","Childress, TX","3","Per capita personal income (dollars) 2/",15246,16776,17669,18909,19340,20526,19716,22207,23563,24465,24217,26235,24231,27163,25793,27481,27827,28853,30084
"48077","Clay, TX","1","Personal income (thousands of dollars)",243658,266115,265713,265907,285565,301746,323423,341710,391212,368140,380687,396557,412959,414270,427698,424088,426655,428119,442652
"48077","Clay, TX","2","Population (persons) 1/",11064,11131,11292,11270,11278,11317,11157,11051,10843,10832,10737,10667,10523,10454,10377,10357,10249,10495,10456
"48077","Clay, TX","3","Per capita personal income (dollars) 2/",22023,23908,23531,23594,25321,26663,28988,30921,36080,33986,35456,37176,39243,39628,41216,40947,41629,40793,42335
"48079","Cochran, TX","1","Personal income (thousands of dollars)",67811,81218,77173,76462,91638,109768,93333,99339,97557,89925,134333,100577,102390,122414,110181,110229,103500,114459,108652
"48079","Cochran, TX","2","Population (persons) 1/",3707,3674,3521,3490,3373,3338,3257,3194,3100,3086,3147,3081,3027,3008,2944,2975,2910,2853,2836
"48079","Cochran, TX","3","Per capita personal income (dollars) 2/",18293,22106,21918,21909,27168,32884,28656,31102,31470,29140,42686,32644,33826,40696,37426,37052,35567,40119,38312
"48081","Coke, TX","1","Personal income (thousands of dollars)",76745,86931,84965,86266,81076,76727,78964,85811,89759,92303,101936,108188,118235,131313,138674,133915,128087,128968,141187
"48081","Coke, TX","2","Population (persons) 1/",3844,3810,3732,3678,3559,3540,3492,3375,3348,3310,3319,3266,3201,3179,3215,3227,3261,3303,3370
"48081","Coke, TX","3","Per capita personal income (dollars) 2/",19965,22817,22767,23455,22781,21674,22613,25425,26810,27886,30713,33126,36937,41306,43133,41498,39278,39046,41895
"48083","Coleman, TX","1","Personal income (thousands of dollars)",187735,192419,190254,197823,197004,203562,217019,232835,261732,253830,268157,292116,306628,321621,332431,327901,308585,325349,341499
"48083","Coleman, TX","2","Population (persons) 1/",9180,9103,8937,8827,8817,8739,8853,8774,8899,8867,8872,8744,8668,8527,8417,8316,8412,8415,8397
"48083","Coleman, TX","3","Per capita personal income (dollars) 2/",20450,21138,21288,22411,22344,23294,24514,26537,29411,28626,30225,33408,35375,37718,39495,39430,36684,38663,40669
"48085","Collin, TX","1","Personal income (thousands of dollars)",22510927,23903106,24041319,25055175,26793905,29818059,32742146,35618562,37903138,36215804,38781650,43506583,46504652,47666857,51278444,55362157,58242903,61652073,66212712
"48085","Collin, TX","2","Population (persons) 1/",499118,534642,563565,589394,617802,647187,683935,714330,741264,765791,788431,813338,836154,857422,885827,915665,943719,971393,1005146
"48085","Collin, TX","3","Per capita personal income (dollars) 2/",45101,44709,42659,42510,43370,46073,47873,49863,51133,47292,49188,53491,55617,55593,57888,60461,61716,63468,65874
"48087","Collingsworth, TX","1","Personal income (thousands of dollars)",73860,84834,83360,96955,92493,93273,82599,86948,75243,85964,96690,95970,100032,121850,104300,102276,104622,104599,97861
"48087","Collingsworth, TX","2","Population (persons) 1/",3193,3086,3093,3026,3028,2980,2952,2973,3017,3042,3054,3085,3024,3100,3016,3013,3013,2978,2962
"48087","Collingsworth, TX","3","Per capita personal income (dollars) 2/",23132,27490,26951,32041,30546,31300,27981,29246,24940,28259,31660,31109,33079,39306,34582,33945,34724,35124,33039
"48089","Colorado, TX","1","Personal income (thousands of dollars)",476098,508456,518709,539553,568722,585276,630814,688919,738716,741944,757021,835112,823044,853008,888030,909140,895725,955512,993400
"48089","Colorado, TX","2","Population (persons) 1/",20326,20125,20328,20507,20450,20493,20608,20648,20818,20784,20872,20806,20726,20721,20705,20929,21030,21228,21217
"48089","Colorado, TX","3","Per capita personal income (dollars) 2/",23423,25265,25517,26311,27810,28560,30610,33365,35484,35698,36270,40138,39711,41166,42890,43439,42593,45012,46821
"48091","Comal, TX","1","Personal income (thousands of dollars)",2295791,2523956,2623540,2731217,2995226,3392873,3786326,4193291,4535453,4558988,4820795,5192522,5611933,5957609,6490706,6914021,7366471,7929955,8615549
"48091","Comal, TX","2","Population (persons) 1/",78583,80630,82797,84837,88119,91018,95637,99540,103272,106350,109270,112072,114836,118591,123195,128783,134346,140790,148373
"48091","Comal, TX","3","Per capita personal income (dollars) 2/",29215,31303,31686,32194,33991,37277,39591,42127,43918,42868,44118,46332,48869,50237,52686,53687,54832,56325,58067
"48093","Comanche, TX","1","Personal income (thousands of dollars)",291789,312288,330826,334216,343639,345013,351899,363413,372692,380946,427488,444406,441310,452579,514481,508287,504320,541340,574718
"48093","Comanche, TX","2","Population (persons) 1/",13998,13710,13582,13526,13646,13746,13814,13775,13834,13912,13953,13865,13723,13556,13475,13389,13531,13547,13534
"48093","Comanche, TX","3","Per capita personal income (dollars) 2/",20845,22778,24358,24709,25182,25099,25474,26382,26940,27383,30638,32052,32158,33386,38180,37963,37271,39960,42465
"48095","Concho, TX","1","Personal income (thousands of dollars)",59854,70539,66436,73338,76874,77048,68133,77003,73371,73537,75443,86748,79426,101490,92265,92503,85910,81900,84671
"48095","Concho, TX","2","Population (persons) 1/",3963,3921,3959,3991,4018,4039,3957,4018,4108,4076,4102,4132,4090,4129,4104,4175,4297,4311,4276
"48095","Concho, TX","3","Per capita personal income (dollars) 2/",15103,17990,16781,18376,19132,19076,17218,19165,17861,18041,18392,20994,19420,24580,22482,22156,19993,18998,19801
"48097","Cooke, TX","1","Personal income (thousands of dollars)",875686,906800,918944,977370,1016185,1108225,1229437,1309956,1551265,1391607,1491974,1626620,1751050,1866505,2032322,1922179,1808270,2024142,2198055
"48097","Cooke, TX","2","Population (persons) 1/",36433,36844,37390,37598,37815,38143,38241,38252,38223,38413,38474,38444,38722,38463,38771,39173,39355,39984,40574
"48097","Cooke, TX","3","Per capita personal income (dollars) 2/",24036,24612,24577,25995,26873,29054,32150,34245,40585,36228,38779,42311,45221,48527,52419,49069,45948,50624,54174
"48099","Coryell, TX","1","Personal income (thousands of dollars)",1468084,1509253,1561399,1635023,1681779,1809527,1901812,1979980,2086391,2123413,2191144,2278994,2312030,2252472,2323589,2410032,2388632,2481759,2543205
